UUID,sector,category,activity_id,name,activity_unit,kgCO2e-AR5,kgCO2e-AR4,kgCO2,kgCH4,kgN2O,kgCO2e-OtherGHGs-AR5,kgCO2e-OtherGHGs-AR4,uncertainty,scope,lca_activity,source,dataset,year_released,year_valid_from,region,data_quality,data_accessed,description,source_link
9a3e27f9-0e87-4d52-a4a5-7cdf82424ba0,Energy,Fuel,fuel-type_anthracite_coal-fuel_use_stationary_combustion,Anthracite Coal,MMBTU,not-supplied,not-supplied,103.69,0.011,0.0016,not-supplied,not-supplied, ,1,fuel_combustion,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of stationary combustion of fuel. Retrieved from the GHG Emission Factors Hub (xlsx) file published by the US EPA at the source URL.,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
c8776fbe-1035-46dc-b828-4f3ae7f1950b,Energy,Fuel,fuel-type_bituminous_coal-fuel_use_stationary_combustion,Bituminous Coal,MMBTU,not-supplied,not-supplied,93.28,0.011,0.0016,not-supplied,not-supplied, ,1,fuel_combustion,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of stationary combustion of fuel. Retrieved from the GHG Emission Factors Hub (xlsx) file published by the US EPA at the source URL.,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
44be291d-824e-4b4b-82fc-f56ff97e00ca,Energy,Fuel,fuel-type_sub-bituminous_coal-fuel_use_stationary_combustion,Sub-bituminous Coal,MMBTU,not-supplied,not-supplied,97.17,0.011,0.0016,not-supplied,not-supplied, ,1,fuel_combustion,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of stationary combustion of fuel. Retrieved from the GHG Emission Factors Hub (xlsx) file published by the US EPA at the source URL.,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
a427162f-858a-4bf6-a878-aa668dcda63f,Energy,Fuel,fuel-type_lignite_coal-fuel_use_stationary_combustion,Lignite Coal,MMBTU,not-supplied,not-supplied,97.72,0.011,0.0016,not-supplied,not-supplied, ,1,fuel_combustion,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of stationary combustion of fuel. Retrieved from the GHG Emission Factors Hub (xlsx) file published by the US EPA at the source URL.,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
2616e0e5-47bf-4d5d-8bc4-797f00b9f92f,Energy,Fuel,fuel-type_mixed_(commercial_sector)-fuel_use_stationary_combustion,Mixed (Commercial Sector),MMBTU,not-supplied,not-supplied,94.27,0.011,0.0016,not-supplied,not-supplied, ,1,fuel_combustion,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of stationary combustion of fuel. Retrieved from the GHG Emission Factors Hub (xlsx) file published by the US EPA at the source URL.,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
337e4b32-4eb6-44fc-9182-d1e01a28d874,Energy,Fuel,fuel-type_mixed_(electric_power_sector)-fuel_use_stationary_combustion,Mixed (Electric Power Sector),MMBTU,not-supplied,not-supplied,95.52,0.011,0.0016,not-supplied,not-supplied, ,1,fuel_combustion,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of stationary combustion of fuel. Retrieved from the GHG Emission Factors Hub (xlsx) file published by the US EPA at the source URL.,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
85422860-60de-4b8a-ba67-45e4e72d2946,Energy,Fuel,fuel-type_mixed_(industrial_coking)-fuel_use_stationary_combustion,Mixed (Industrial Coking),MMBTU,not-supplied,not-supplied,93.9,0.011,0.0016,not-supplied,not-supplied, ,1,fuel_combustion,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of stationary combustion of fuel. Retrieved from the GHG Emission Factors Hub (xlsx) file published by the US EPA at the source URL.,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
d8ee0b63-1f34-4e02-98dc-47c0ecc3ba56,Energy,Fuel,fuel-type_mixed_(industrial_sector)-fuel_use_stationary_combustion,Mixed (Industrial Sector),MMBTU,not-supplied,not-supplied,94.67,0.011,0.0016,not-supplied,not-supplied, ,1,fuel_combustion,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of stationary combustion of fuel. Retrieved from the GHG Emission Factors Hub (xlsx) file published by the US EPA at the source URL.,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
c5a7310e-8950-4b32-a2b7-4ffc9fde66e7,Energy,Fuel,fuel-type_coal_coke-fuel_use_stationary_combustion,Coal Coke,MMBTU,not-supplied,not-supplied,113.67,0.011,0.0016,not-supplied,not-supplied, ,1,fuel_combustion,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of stationary combustion of fuel. Retrieved from the GHG Emission Factors Hub (xlsx) file published by the US EPA at the source URL.,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
23253879-80f5-425f-aaed-d2ea2554fddd,Energy,Fuel,fuel-type_municipal_solid_waste-fuel_use_stationary_combustion,Municipal Solid Waste,MMBTU,not-supplied,not-supplied,90.7,0.032,0.004200000000000001,not-supplied,not-supplied, ,1,fuel_combustion,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of stationary combustion of fuel. Retrieved from the GHG Emission Factors Hub (xlsx) file published by the US EPA at the source URL.,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
